billingNo,billingDate,apiKey,productCode,secProductCode,modelCode,originalCostPrice,discountRate,costPrice,costUnit,usageCount,usageExempt,usageUnit,apiUsage,settlementAmount,paidAmount,giftDeductAmount,unpaidAmount,billingStatus,tokenType,deductUsage,packageId,packageName,cashAmount,thirdParty,discountType,paymentType,computedCost
DAY-3a8ac035569f0e451af7eac2b780b078-WB5GKZREXSU22IZK,2026-04-09,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,47613,0,token,159,0,0,0,0,Paid,CACHE,47613,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00523743
DAY-8d95e46e404e0fe0ae70d56190b2e88e-XQ5UROBLH91XMV5S,2026-04-08,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,129931,0,token,603,0,0,0,0,Paid,OUTPUT,129931,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.28584820000000005
DAY-aa1118ececdbdf1f2143d694d5ae37a0-51OZOCORSCVBC9N5,2026-04-08,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,123692,0,token,591,0,0,0,0,Paid,CACHE,123692,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01360612
DAY-83c6647e631f08e8b3f8e52c5ea5d7b5-LUQQ52SPS0I53ZV7,2026-04-08,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,1001138,0,token,603,0,0,0,0,Paid,INPUT,1001138,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.6006828
DAY-973c86358c807cca610851b1207951db-NBRLQIC84CUNZEZT,2026-04-07,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,109421,0,token,461,0,0,0,0,Paid,OUTPUT,109421,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.24072620000000003
DAY-eb1a5391c709aa3bbbbd8b78824cd6d1-EDDK0TCL208IZURK,2026-04-07,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,89911,0,token,456,0,0,0,0,Paid,CACHE,89911,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00989021
DAY-bc0746ee6c5086c7d1cac332c436d0bd-GT2B5UMGSHJ529RL,2026-04-07,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,846680,0,token,461,0,0,0,0,Paid,INPUT,846680,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.5080079999999999
DAY-857689bb671ea5d7dbafc85994359bc3-0BRGXMIJM958J1LK,2026-04-06,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,82084,0,token,447,0,0,0,0,Paid,OUTPUT,82084,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.18058480000000002
DAY-db4b2e447d735f9eb1e49ee30c27c039-IYDW0SFKVRRKQO9Q,2026-04-06,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,122600,0,token,441,0,0,0,0,Paid,CACHE,122600,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.013486
DAY-7ddbe92287f45b84005959cde5d61e44-M6OW0Z6S4WJ7CP7N,2026-04-06,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,618906,0,token,447,0,0,0,0,Paid,INPUT,618906,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.37134359999999994
DAY-69297b9b34f0f06b94173ba319e49449-UN2JIXNWZFNN0MDV,2026-04-05,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,504960,0,token,286,0,0,0,0,Paid,INPUT,504960,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.30297599999999997
DAY-cd27b8fe63aca8b2a472e965a1f7f59d-IHHT0112Q4CHS1ZM,2026-04-05,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,68824,0,token,286,0,0,0,0,Paid,OUTPUT,68824,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.15141280000000001
DAY-bd970a4b0c3788567bcfae99aec8c309-EM67QJA0NS4E2SMP,2026-04-05,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,51955,0,token,280,0,0,0,0,Paid,CACHE,51955,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00571505
DAY-bd1df2704907f3346a8c07f4694a7159-HA20S5WDHWEAAMBR,2026-04-04,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,103751,0,token,473,0,0,0,0,Paid,OUTPUT,103751,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.22825220000000002
DAY-d19c93c3b2589f8f0572df38851c33bb-U6VNNM96L7PIZGEE,2026-04-04,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,116347,0,token,469,0,0,0,0,Paid,CACHE,116347,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01279817
DAY-70c761daffd8c9a8906a7da1f5c8f2f0-I26Q2HY5EU2ISQ5J,2026-04-04,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,844115,0,token,473,0,0,0,0,Paid,INPUT,844115,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.506469
DAY-15049d5a470d64817f57ee5e5a95fda0-OY6K8SXFCEI3VK7C,2026-04-03,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,89499,0,token,396,0,0,0,0,Paid,CACHE,89499,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00984489
DAY-6560a021ccdb74dbae2d8712b94e4e9f-QNR668JBTRQL1CPS,2026-04-03,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,707982,0,token,402,0,0,0,0,Paid,INPUT,707982,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.4247891999999999
DAY-5948e3eddf5e13d0514d18304da6e1fe-4D68158SEBSWAID7,2026-04-03,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,97847,0,token,402,0,0,0,0,Paid,OUTPUT,97847,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.2152634
DAY-452f48c87077618383d5f9fe2d4dd479-VNWMSO780HKMVU99,2026-04-02,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,148884,0,token,523,0,0,0,0,Paid,CACHE,148884,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.016377239999999998
DAY-b866a10bb8847c22f6c9fc9f36e6d367-MMOCH5PX7UYCHEU0,2026-04-02,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,112027,0,token,534,0,0,0,0,Paid,OUTPUT,112027,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.24645940000000002
DAY-0bc73da755848b830caabafff1abd8b6-MDEIG1M77NLSSIL7,2026-04-02,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,837291,0,token,534,0,0,0,0,Paid,INPUT,837291,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.5023746
DAY-b38d764b25a5494af820db96be32b249-C8P9QUCAP777OHXD,2026-04-01,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,928675,0,token,479,0,0,0,0,Paid,INPUT,928675,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.557205
DAY-81d69f750d6e1ca0d7a4e1aabcf7fe10-FVS6ZRAIKBQHFJE0,2026-04-01,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,154295,0,token,472,0,0,0,0,Paid,CACHE,154295,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01697245
DAY-5205bd66b153a8c635e9c0aeb0091af4-6T17B0VT70EIUGA9,2026-04-01,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,113390,0,token,479,0,0,0,0,Paid,OUTPUT,113390,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.249458
