id,source,date,rating,feedback,sentiment,customer_segment,country
32,App Store Review,2025-11-01,3,"Our team uses it. No major complaints, no raving either.",Neutral,Startup,US
33,Google Play Review,2026-01-17,2,Desperately need a 'digest mode' for notifications. Getting pinged 50 times an hour is not productive.,Negative,Startup,Canada
34,Support Ticket,2025-11-09,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Neutral,Startup,US
35,Support Ticket,2025-12-09,,Can't figure out how to restore a deleted project. Team deleted by accident. Please help ASAP.,Neutral,SMB,UK
36,App Store Review,2025-05-13,5,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,SMB,US
37,G2 Review,2026-02-12,5,Moved our entire engineering org over from Jira and productivity measurably increased. Thank you.,Positive,SMB,US
38,Google Play Review,2025-09-10,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,Startup,US
39,NPS Response,2026-03-06,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,Enterprise,US
40,Google Play Review,2025-12-14,4,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,Startup,US
41,G2 Review,2025-05-18,5,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,US
42,NPS Response,2025-07-21,2,"The new reporting features are a huge step up, but i spent 40 minute syesterday manually reassigning tasks because there's no bulk reassign. madness.",Neutral,Startup,UK
43,G2 Review,2025-08-18,5,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,Australia
44,Support Ticket,2025-06-02,,Search returns no results even when I search for exact task names. Index issue?,Neutral,Enterprise,UK
45,Google Play Review,2025-04-22,4,The Slack integration works well for us. Comments sync back both ways.,Positive,Startup,India
46,Google Play Review,2025-06-28,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,SMB,India
47,Support Ticket,2025-09-16,,Can you clarify the data residency options for EU customers? We're going through a SOC2 audit.,Negative,Startup,US
48,Support Ticket,2026-04-04,,Following up to thank the team for the webhook fix last week. Rock solid since then.,Positive,Startup,US
49,Support Ticket,2025-07-19,,Following up to thank the team for the webhook fix last week. Rock solid since then.,Positive,Enterprise,Canada
50,App Store Review,2025-10-06,1,Still no proper Gantt chart view in 2026. Every PM tool has one. What's the holdup? Need pivot tables in reports. Desperately. Been asking for 18 months.,Negative,SMB,US
51,Google Play Review,2026-04-03,3,"This tool has genuinely transformed how our team works, but cannot mute specific projects. cannot schedule quiet hours. cannot filter by priority. digital noise.",Neutral,Enterprise,India
52,G2 Review,2025-06-12,1,honestly the performance has gotten worse after the last update. simple page loads feel laggy now,Negative,Startup,US
53,Support Ticket,2025-11-10,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,Startup,US
54,Support Ticket,2026-03-11,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Neutral,SMB,India
55,Support Ticket,2025-05-03,,can you push me an invoice with our updated VAT number? current one is wrong,Neutral,Startup,India
56,Support Ticket,2025-10-11,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Negative,SMB,US
57,App Store Review,2025-09-08,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,India
58,App Store Review,2025-12-14,5,"5 stars. been a customer for 4 years, they actually listen to feedback",Positive,SMB,US
59,G2 Review,2025-10-19,1,Lost two hours of work when the autosave failed silently. Nice.,Negative,SMB,UK
60,NPS Response,2025-12-16,1,Lost two hours of work when the autosave failed silently. Nice.,Negative,SMB,UK
61,NPS Response,2025-07-09,4,the mobile app has really improved over the last year. using it daily now without issue.,Positive,SMB,US
62,Support Ticket,2025-12-11,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,SMB,US
63,Google Play Review,2025-07-24,4,Worth every penny. We've replaced 4 other tools with this one.,Positive,SMB,India
64,Support Ticket,2025-11-15,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Neutral,Startup,US
65,App Store Review,2025-11-24,5,Love it. Highly recommend.,Positive,Startup,US
66,Support Ticket,2025-08-10,,Reports not rendering in PDF format - PNG works fine. Chrome 134.,Negative,Startup,US
67,App Store Review,2025-06-06,4,"Love the UI. Clean, intuitive, and my non-technical teammates picked it up in a day. Keep it up!",Positive,Enterprise,UK
68,Google Play Review,2026-02-27,5,love love love this tool. my whole startup runs on it,Positive,Startup,Canada
69,G2 Review,2025-11-22,2,"We need real Slack integration, not just notification forwarding. Threads, mentions, the whole thing. Why is there no GitHub integration? Every dev tool has one.",Negative,SMB,US
70,NPS Response,2026-02-19,5,love love love this tool. my whole startup runs on it,Positive,Enterprise,US
71,Support Ticket,2025-06-18,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,Startup,India
72,NPS Response,2025-06-16,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,SMB,US
73,App Store Review,2025-05-09,5,worth every penny. we've replaced 4 other tools with this one.,Positive,SMB,US
74,G2 Review,2025-08-10,4,Best investment we made this year. ROI was obvious within 30 days.,Positive,SMB,India
75,G2 Review,2025-07-11,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,Startup,Canada
76,App Store Review,2026-01-12,2,We evaluated you vs. Asana and the integration story was what made us pick them. Their Slack/Jira bridge is miles ahead.,Negative,SMB,US
77,Support Ticket,2025-11-22,,The Zapier integration is not triggering on task creation. Was working yesterday. Zap ID 8834221.,Negative,Startup,UK
78,Support Ticket,2026-04-11,,can you push me an invoice with our updated VAT number? current one is wrong,Neutral,SMB,US
79,Support Ticket,2026-01-30,,Can't figure out how to restore a deleted project. Team deleted by accident. Please help ASAP.,Negative,SMB,US
80,Support Ticket,2025-07-10,,Reports not rendering in PDF format - PNG works fine. Chrome 134.,Negative,Enterprise,US
81,App Store Review,2026-04-17,1,Our PMO literally cannot use this tool because there's no proper Gantt. Blocker for enterprise adoption.,Negative,Enterprise,UK
82,Google Play Review,2025-11-05,1,"Please, for the love of God, ship a real Gantt view with drag-to-reschedule and dependency arrows.",Negative,Enterprise,US
83,G2 Review,2025-05-20,3,"best investment we made this year, but reporting limitations are killing us. leadership wants rolled-up views and we can't deliver them.",Neutral,SMB,India
84,G2 Review,2026-02-04,5,"Love the UI. Clean, intuitive, and my non-technical teammates picked it up in a day. Highly recommend.",Positive,SMB,UK
85,Support Ticket,2025-05-21,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Negative,SMB,India
86,App Store Review,2025-05-30,2,No way to bulk move tasks between projects. I'm copy-pasting manually like a peasant.,Negative,Startup,US
87,NPS Response,2026-03-26,1,Missing a proper Salesforce connector is a dealbreaker for us. Our sales team needs context in CRM.,Negative,SMB,Canada
88,Google Play Review,2025-05-04,1,getting new hires up to speed on this takes way too long. no in-product learning paths at all The recent price hike with no warning was really disappointing. Trust broken.,Negative,SMB,US
89,Google Play Review,2026-03-12,3,decent tool. has some rough edges but gets the job done,Neutral,Startup,UK
90,Support Ticket,2025-12-11,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,SMB,US
91,Support Ticket,2025-10-05,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Negative,Enterprise,US
92,Support Ticket,2025-11-29,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,Enterprise,India
93,App Store Review,2025-12-27,3,Took some getting used to but I'm neutral on it now. Part of my workflow.,Neutral,Startup,Australia
94,NPS Response,2025-09-05,5,Moved our entire engineering org over from Jira and productivity measurably increased. Thank you. Really grateful.,Positive,SMB,US
95,App Store Review,2025-11-30,2,The mobile app is basically read-only because editing anything causes it to freeze.,Negative,SMB,UK
96,G2 Review,2025-12-24,1,UI is cluttered and inconsistent. Different panels have different conventions. Confusing.,Negative,Startup,India
97,G2 Review,2025-05-09,4,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,UK
98,NPS Response,2025-05-28,1,Reporting is laughably limited. You can't even group by two fields. Forced to export to Excel every week.,Negative,SMB,India
99,G2 Review,2025-04-27,2,"Love the UI, but slow. so slow. i've timed it at 8 seconds to load my main board. that's unacceptable in 2026.",Neutral,SMB,India
100,G2 Review,2025-04-30,5,Great value for small teams. The startup pricing tier is generous.,Positive,Enterprise,US
101,Support Ticket,2025-05-23,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,Enterprise,US
102,Google Play Review,2025-10-30,2,No native Slack integration in 2026? We still have to use Zapier and it's janky as hell.,Negative,Enterprise,US
103,Google Play Review,2025-06-17,1,Still no proper Gantt chart view in 2026. Every PM tool has one. What's the holdup?,Negative,Enterprise,India
104,App Store Review,2025-06-21,2,decent tool. has some rough edges but gets the job done,Neutral,SMB,India
105,Google Play Review,2025-12-26,1,Loading spinners everywhere. This used to be snappy - what happened?,Negative,SMB,UK
106,G2 Review,2025-04-19,2,can't customize email vs in-app vs push independently. notification tyranny,Negative,SMB,US
107,G2 Review,2025-08-29,1,I waited 22 seconds for my portfolio view to load yesterday. I actually counted. Something is deeply wrong. The mobile app is basically read-only because editing anything causes it to freeze.,Negative,Enterprise,UK
108,Support Ticket,2025-09-19,,Closing this ticket - your engineer's fix worked perfectly. Really appreciate the fast turnaround.,Positive,SMB,Australia
109,Google Play Review,2026-03-03,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,SMB,UK
110,G2 Review,2025-09-14,2,The mobile app crashes every single time I try to attach a file. Reported thsi 3 months ago. Nothing.,Negative,SMB,Australia
111,G2 Review,2025-07-08,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,Startup,US
112,Support Ticket,2025-06-04,,Need help migrating from Trello. Import tool failed on our largest board.,Neutral,Enterprise,Australia
113,NPS Response,2026-04-15,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines. 👌,Positive,SMB,US
114,Google Play Review,2025-11-10,1,bulk edit is practically useless. can barely do anything in multi-select mode The timeline is basically a bar chart. Not a Gantt. Stop calling it one in your marketing.,Negative,SMB,US
115,NPS Response,2025-09-04,3,does roughly what other tools do. no standout features but no major gaps either,Neutral,SMB,UK
116,Support Ticket,2025-11-24,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Negative,Startup,US
117,NPS Response,2026-02-07,4,nps promoter here - i've recommended this to at least 5 other companies.,Positive,SMB,US
118,NPS Response,2026-03-28,2,Uninstalled. Reporting is laughably limited. You can't even group by two fields. Forced to export to Excel every week.,Negative,SMB,US
119,Support Ticket,2025-09-17,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Negative,SMB,India
120,Google Play Review,2025-09-07,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,SMB,US
121,Support Ticket,2026-03-10,,Our enterprise contract should include the Advanced Reporting add-on but it's not showing as enabled. Please check.,Negative,Startup,India
122,Support Ticket,2025-10-21,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Negative,Startup,India
123,NPS Response,2025-07-04,2,"Honestly the best PM tool I've used, but can you please invest in the mobile experience? half our field team uses phones and it barely works.",Neutral,Enterprise,UK
124,NPS Response,2025-05-30,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,UK
125,Google Play Review,2025-10-04,2,"Takes forever to load on my laptop. Even on wifi it lags constantly. Reporting exports to CSV only - no PDF, no scheduled delivery, no charts. What year is this? Getting close to canceling.",Negative,Startup,UK
126,Support Ticket,2026-01-12,,Following up to thank the team for the webhook fix last week. Rock solid since then.,Positive,Enterprise,UK
127,Google Play Review,2026-03-29,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,Startup,India
128,Google Play Review,2026-03-23,5,love love love this tool. my whole startup runs on it,Positive,Enterprise,India
129,NPS Response,2026-02-01,5,"The kanban views are beautifully done. Smooth drag and drop, nice animations, responsive.",Positive,Enterprise,UK
130,Google Play Review,2025-07-06,4,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,SMB,US
131,Support Ticket,2025-05-03,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Neutral,SMB,Australia
132,G2 Review,2026-02-07,2,Adding the ability to multi-select and bulk update would save my team hours every week.,Negative,SMB,US
133,App Store Review,2026-01-30,2,can't customize email vs in-app vs push independently. notification tyranny Ugh.,Negative,SMB,UK
134,App Store Review,2025-09-01,3,"love love love this tool, but performance is a real issue for us. enterprise boards with thousands of tasks basically crawl.",Neutral,Startup,India
135,Google Play Review,2025-08-04,1,Customer support is slow. Tickets take 4-5 days for a first response. Unacceptable at our price point.,Negative,Enterprise,India
136,Support Ticket,2025-12-11,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Neutral,Enterprise,US
137,App Store Review,2025-07-30,5,Huge fan of the automation rules. We've automated so much of our recurring work.,Positive,Enterprise,US
138,App Store Review,2026-03-08,5,The timeline view (even if it's not a full Gantt) works well enough for our agile squads.,Positive,SMB,US
139,Support Ticket,2026-02-03,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Negative,Enterprise,India
140,App Store Review,2026-02-01,2,The recent UI redesign made everything worse. Took me a week to find basic features.,Negative,Startup,US
141,Support Ticket,2025-12-17,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Negative,Startup,US
142,Support Ticket,2025-08-06,,Need data export for our compliance team. How long does a full workspace export typically take?,Neutral,Startup,Australia
143,Support Ticket,2025-11-20,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Negative,SMB,India
144,Support Ticket,2025-07-23,,I was charged twice for my subscription this month. Please refund. Invoice #88231.,Negative,SMB,US
145,Support Ticket,2025-08-21,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Neutral,SMB,US
146,App Store Review,2026-02-09,1,the product is powerful but the learning curve is a cliff. need better in-app guidance. can't customize email vs in-app vs push independently. notification tyranny,Negative,SMB,India
147,App Store Review,2025-08-27,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,Startup,US
148,App Store Review,2025-10-18,1,Email notifications don't thread. My inbox is a disaster zone. onboarding is rough. threw us into the deep end with no templates that fit our actual workflow,Negative,Enterprise,US
149,G2 Review,2025-04-29,2,Bulk actions are severely limited - can change assignee but not due dates or custom fields. Why? The product is powerful but the learning curve is a cliff. Need better in-app guidance.,Negative,SMB,US
150,Support Ticket,2025-09-13,,Sync with Google Calendar stopped including task titles. Only shows 'New Task'. Broken since Monday.,Neutral,Startup,US
151,App Store Review,2026-01-23,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,SMB,India
152,NPS Response,2025-09-23,2,Performance is a real issue for us. Enterprise boards with thousands of tasks basically crawl.,Negative,Startup,India
153,Support Ticket,2025-06-11,,Billing portal showing wrong seat count. We're being charged for 45 when we have 30 active users.,Neutral,Enterprise,US
154,NPS Response,2025-10-11,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,SMB,India
155,Support Ticket,2025-05-21,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Neutral,SMB,US
156,Google Play Review,2025-11-23,3,"It does what I need. Nothing spectacular, but not broken either.",Neutral,SMB,Canada
157,NPS Response,2025-11-06,2,"The UI is fine. Not beautiful, not ugly. Functional.",Neutral,SMB,Australia
158,NPS Response,2025-08-01,5,The API is solid. We've built several internal tools on top of it with no issues.,Positive,SMB,India
159,Google Play Review,2026-03-16,4,decent tool. has some rough edges but gets the job done,Neutral,Startup,Australia
160,Google Play Review,2025-10-24,3,Took some getting used to but I'm neutral on it now. Part of my workflow.,Neutral,SMB,India
161,App Store Review,2025-04-20,3,"Customer support has been fantastic, but our coo asked for a simple 'completed tasks per team per quarter' report. couldn't do it natively. embarrassing.",Neutral,SMB,US
162,Google Play Review,2025-08-04,2,It's fine. I wish it were faster but I wish a lot of things.,Neutral,SMB,UK
163,NPS Response,2026-04-04,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,Australia
164,App Store Review,2025-05-03,4,"Permissions are flexible enough for our enterprise setup, but dashboards are static, ugly, and don't drill down. we're looking at tableau as a rpelacement.",Neutral,SMB,Australia
165,Support Ticket,2025-06-12,,"hi just wondering if you have a teams integration on the roadmap? asked sales, got no answer",Negative,SMB,US
166,App Store Review,2025-12-03,3,It's a tool. I use it. It works mostly. That's about all I can say.,Neutral,SMB,UK
167,Support Ticket,2025-06-07,,The Zapier integration is not triggering on task creation. Was working yesterday. Zap ID 8834221.,Negative,Startup,US
168,Support Ticket,2025-11-09,,Billing portal showing wrong seat count. We're being charged for 45 when we have 30 active users.,Neutral,Enterprise,Canada
169,Google Play Review,2026-03-25,1,Hidden costs everywhere. Want SSO? Pay more. Want advanced reporting? Pay more. Want to breathe? Pay more.,Negative,Startup,UK
170,App Store Review,2025-09-24,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,Enterprise,India
171,Support Ticket,2025-07-11,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Negative,Startup,UK
172,Google Play Review,2025-09-25,3,"been using this for 2 years now and it just keeps getting better, but the reporting module feels like an afterthought. we need burndown, velocity, forecast - basic pm stuff.",Neutral,Startup,UK
173,Support Ticket,2025-07-27,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Negative,SMB,Australia
174,Support Ticket,2025-11-16,,2FA reset request: lost access to authenticator app. Can someone verify my identity and reset?,Negative,Startup,Canada
175,Support Ticket,2025-10-31,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,SMB,US
176,NPS Response,2025-06-26,3,does roughly what other tools do. no standout features but no major gaps either,Neutral,SMB,Canada
177,Support Ticket,2026-04-02,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Negative,Startup,India
178,Support Ticket,2025-09-20,,"hi just wondering if you have a teams integration on the roadmap? asked sales, got no answer",Negative,Startup,India
179,Support Ticket,2025-07-05,,The Zapier integration is not triggering on task creation. Was working yesterday. Zap ID 8834221.,Neutral,SMB,UK
180,Google Play Review,2025-05-05,5,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,SMB,Australia
181,NPS Response,2025-04-23,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,Enterprise,India
182,Google Play Review,2025-09-28,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,SMB,UK
183,G2 Review,2025-07-17,3,decent tool. has some rough edges but gets the job done,Neutral,SMB,US
184,Google Play Review,2026-03-23,5,great product. does what it says on the tin and the integrations with github work perfectly,Positive,SMB,India
185,App Store Review,2025-08-17,1,the pricing just jumped 40% at renewal with zero new features. talking to procurement about alternatives.,Negative,Enterprise,Australia
186,NPS Response,2026-01-19,3,"Middle of the pack compared to Asana and Monday. Some things better, some worse.",Neutral,SMB,Canada
187,Support Ticket,2025-08-08,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Neutral,Enterprise,US
188,Google Play Review,2025-07-24,5,Our remote team reiles on this daily. It's the backbone of our async culture.,Positive,SMB,India
189,Support Ticket,2026-02-20,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Neutral,SMB,US
190,Google Play Review,2025-05-26,5,"5 stars. been a customer for 4 years, they actually listen to feedback",Positive,Enterprise,US
191,G2 Review,2025-09-02,4,It's fine. I wish it were faster but I wish a lot of things.,Neutral,Startup,US
192,NPS Response,2025-05-02,3,"Middle of the pack compared to Asana and Monday. Some things better, some worse.",Neutral,SMB,US
193,Support Ticket,2025-11-18,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Neutral,SMB,India
194,Support Ticket,2025-06-12,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Negative,SMB,UK
195,Support Ticket,2026-03-08,,Closing this ticket - your engineer's fix worked perfectly. Really appreciate the fast turnaround.,Positive,SMB,UK
196,Support Ticket,2025-08-03,,Can't figure out how to restore a deleted project. Team deleted by accident. Please help ASAP.,Neutral,Startup,UK
197,Google Play Review,2026-03-21,5,Onboarded our 50-person team in a week. The templates were really helpful.,Positive,Startup,UK
198,Support Ticket,2026-04-07,,Need data export for our compliance team. How long does a full workspace export typically take?,Negative,SMB,US
199,Support Ticket,2025-10-24,,Webhooks have stopped firing for status changes. Last successful delivery was Tuesday.,Neutral,SMB,US
200,NPS Response,2025-05-23,4,"love the ui. clean, intuitive, and my non-technical teammates picked it up in a day.",Positive,Startup,India
201,G2 Review,2025-10-22,2,support ticket #48721 has been open for 3 weeks with zero response. great job team,Negative,SMB,India
202,App Store Review,2025-10-06,3,meh. owrks. moving on,Neutral,SMB,US
203,G2 Review,2026-04-10,1,The first-run experience needs serious work. My PM quit the tool within 2 days.,Negative,Enterprise,Australia
204,Google Play Review,2025-11-21,2,disappointed.,Negative,Enterprise,US
205,Google Play Review,2025-11-16,2,does roughly what other tools do. no standout features but no major gaps either,Neutral,SMB,US
206,Google Play Review,2025-05-10,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,Enterprise,Canada
207,Support Ticket,2025-08-19,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,SMB,India
208,Google Play Review,2026-01-04,2,Permissions model is too coarse. Either someone sees everything or nothing. Need granular controls.,Negative,Startup,US
209,Google Play Review,2025-06-22,2,Reporting is the weakest part of this tool by far. Fix it and you'd have a winner. Notifications are uot of control. I get 200+ emails a day. No granular controls at all.,Negative,Enterprise,US
210,NPS Response,2025-08-16,4,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,Startup,India
211,G2 Review,2025-12-06,5,The Slack integration works well for us. Comments sync back both ways.,Positive,SMB,US
212,Google Play Review,2025-12-26,3,Would rate higher if there were more integrations. Would rate lower if it crashed more. So... middle.,Neutral,SMB,UK
213,NPS Response,2025-05-18,1,Pricing page is intentionally confusing. Feature matrix takes 20 minutes to parse.,Negative,Enterprise,UK
214,G2 Review,2025-08-11,2,I get notified when anything happens anywhere. Turning off notifications means missing actual mentions. Broken.,Negative,Startup,India
215,Google Play Review,2025-05-31,2,I use it because I have to. It works. That's my review.,Neutral,Startup,US
216,Google Play Review,2026-04-10,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,India
217,App Store Review,2026-01-17,5,recommend it.,Positive,SMB,Canada
218,App Store Review,2025-12-15,1,"Mobile app: tiny tap targets, laggy scrolling, and no offline mode. It's 2026, come on.",Negative,Enterprise,UK
219,G2 Review,2026-01-21,2,Why can't I bulk archive completed tasks? Have to do them one at a time. Insulting. Permissions model is too coarse. Either someone sees everything or nothing. Need granular controls.,Negative,Startup,US
220,App Store Review,2025-07-02,2,I use it because I have to. It works. That's my review.,Neutral,Startup,Australia
221,Support Ticket,2025-07-14,,Custom field formulas returning #ERROR on all rows after yesterday's maintenance. Can someone look into this?,Negative,SMB,US
222,Support Ticket,2026-02-04,,2FA reset request: lost access to authenticator app. Can someone verify my identity and reset?,Negative,Startup,US
223,NPS Response,2025-10-04,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,UK
224,NPS Response,2025-06-18,1,Bulk edit support is table stake.s Please prioritize.,Negative,SMB,UK
225,Support Ticket,2025-08-31,,Attachments over 10MB fail to upload with a generic error. Our workflow depends on larger files. Please advise.,Neutral,SMB,India
226,Support Ticket,2025-05-15,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Negative,SMB,India
227,Support Ticket,2026-03-07,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Neutral,Enterprise,India
228,Google Play Review,2026-03-05,1,can't customize email vs in-app vs push independently. notification tyranny Ugh.,Negative,Enterprise,US
229,Google Play Review,2026-04-12,5,The API is solid. We've built several internal tools on top of it with no issues.,Positive,Enterprise,Australia
230,Google Play Review,2025-12-02,2,I waited 22 seconds for my portfolio view to load yesterday. I actually counted. Something is deeply wrong.,Negative,Startup,US
231,Support Ticket,2026-03-10,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Negative,Startup,US
